# Time of B-band maximum light as fit for in MLCS2k2 (RV=1.7).  Objects
# with A_V > 2.0, mlcs-reduced-chi^2 > 1.6 and phase of first
# observation ("t_1st_obs") > 20d have been removed.  Also, only 
# nearby objects are listed (z<=0.15).
#
# SN   t_max(MJD)   +/-	  t_1st
sn06al 53787.7100 1.0500 3.3700
sn06an 53791.4200 1.1100 2.7820
sn06ar 53813.1400 0.3100 -9.5980
sn06ax 53826.7900 0.1500 -9.3150
sn06az 53826.1200 0.2600 -5.6510
sn06b 53733.0400 0.8300 11.8570
sn06bb 53815.3700 0.3800 11.5170
sn06bd 53820.8900 0.9800 8.2040
sn06bk 53826.2200 1.0900 9.6490
sn06bq 53846.3000 0.6100 4.0750
sn06br 53850.2800 0.9200 1.9970
sn06bt 53856.9200 0.6000 -2.5050
sn06bu 53856.2300 1.8200 1.9600
sn06bw 53849.8200 1.7800 9.1800
sn06bz 53862.4300 0.3400 -1.1100
sn06cc 53873.3000 0.1800 -8.7680
sn06cf 53872.2200 1.2100 1.9150
sn06cg 53867.0500 1.7500 5.9290
sn06cj 53879.2700 0.9400 0.0300
sn06cm 53885.4300 0.7400 -0.9640
sn06cp 53896.7400 0.1700 -11.3220
sn06cq 53889.8000 0.7800 -3.3100
sn06cs 53889.3700 0.7500 4.8680
sn06d 53756.7100 0.2900 -4.2650
sn06ef 53967.9500 1.0200 9.3290
sn06ej 53973.0900 1.0100 4.2210
sn06em 53973.3500 1.0200 10.9120
sn06en 53971.6600 0.8900 5.5350
sn06et 53994.0500 0.6700 -2.6270
sn06eu 53989.6900 0.8000 1.6010
sn06ev 53986.3400 0.8200 13.4890
sn06gj 53999.3000 0.5800 -0.8240
sn06gr 54012.0200 0.2000 -9.3710
sn06gt 54001.6700 1.4600 5.3880
sn06h 53752.1500 0.5800 3.9250
sn06ha 54012.3800 0.5600 -5.0700
sn06hb 54001.0000 1.0100 6.3620
sn06is 54007.4300 1.3400 7.7810
sn06je 54015.5200 0.8900 13.4120
sn06ke 54030.4500 0.7400 0.9930
sn06kf 54040.6700 0.5400 -1.2320
sn06le 54047.2500 0.1700 -10.5930
sn06lf 54045.0200 0.1900 -8.4160
sn06mo 54046.7600 0.6400 -1.4640
sn06mp 54053.2900 0.2700 -7.0660
sn06n 53760.7500 0.5200 0.5870
sn06nz 54057.8700 0.3500 -2.5980
sn06oa 54066.1000 0.2500 -7.5410
sn06ob 54062.5200 0.3000 -4.0710
sn06on 54063.8100 0.9300 -2.4500
sn06or 54066.1300 1.7300 4.2930
sn06os 54061.6800 1.0300 2.4550
sn06qo 54081.9600 0.2000 -10.2030
sn06s 53769.1400 0.3800 -4.5280
sn06sr 54091.9500 0.5000 -1.8230
sn06td 54098.9200 0.8500 0.2370
sn06te 54096.7000 0.8900 3.4380
sn07ae 54154.0800 1.0000 3.2440
sn07af 54173.8200 0.1400 -11.3940
sn07ai 54173.5300 1.0200 -1.0450
sn07al 54167.6900 0.8500 4.4880
sn07ap 54166.9300 0.7400 8.4300
sn07ar 54177.7400 0.7000 0.4340
sn07au 54184.0500 0.2000 -5.7030
sn07ax 54185.2500 0.6200 4.8190
sn07ba 54198.8100 0.9800 5.2640
sn07bc 54199.8500 0.4200 -2.5490
sn07bd 54206.5100 0.1800 -9.1000
sn07bm 54224.1200 0.1500 -9.8550
sn07bz 54215.7500 0.6500 -0.5550
sn07ca 54226.7600 0.2000 -9.4250
sn07cg 54227.2400 1.6800 6.7490
sn07ci 54246.4200 0.1700 -8.1260
sn07co 54264.5800 0.2900 -5.0700
sn07cq 54280.5200 0.2900 -5.9120
sn07f 54123.3900 0.2100 -7.6760
sn07h 54106.2600 1.7400 10.6610
sn07n 54120.8300 0.8200 5.5260
sn07o 54123.8000 0.9100 4.5510
sn07qe 54428.9400 0.1600 -9.4240
sn07r 54127.2500 0.7000 1.9430
sn07s 54144.0800 0.2700 -6.5860
sn07sr 54448.3400 0.6300 5.1620
sn08L 54492.3800 1.1800 -1.1770
sn08af 54501.3700 1.0000 7.8750
sn08bf 54554.5600 0.3300 -5.0690
